formatted_com_name,com_name,sci_name,learn_more_link
Emu,Emu,Dromaius novaehollandiae,https://www.allaboutbirds.org/guide/Emu/overview
Eurasian_Collared-Dove,Eurasian Collared-Dove,Streptopelia decaocto,https://www.allaboutbirds.org/guide/Eurasian_Collared-Dove/overview
Eurasian_Dotterel,Eurasian Dotterel,Eudromias morinellus,https://www.allaboutbirds.org/guide/Eurasian_Dotterel/overview
Eurasian_Hobby,Eurasian Hobby,Falco subbuteo,https://www.allaboutbirds.org/guide/Eurasian_Hobby/overview
Eurasian_Kestrel,Eurasian Kestrel,Falco tinnunculus,https://www.allaboutbirds.org/guide/Eurasian_Kestrel/overview
Eurasian_Skylark,Eurasian Skylark,Alauda arvensis,https://www.allaboutbirds.org/guide/Eurasian_Skylark/overview
Eurasian_Tree_Sparrow,Eurasian Tree Sparrow,Passer montanus,https://www.allaboutbirds.org/guide/Eurasian_Tree_Sparrow/overview
Eurasian_Wigeon,Eurasian Wigeon,Mareca penelope,https://www.allaboutbirds.org/guide/Eurasian_Wigeon/overview
European_Goldfinch,European Goldfinch,Carduelis carduelis,https://www.allaboutbirds.org/guide/European_Goldfinch/overview
European_Starling,European Starling,Sturnus vulgaris,https://www.allaboutbirds.org/guide/European_Starling/overview
Evening_Grosbeak,Evening Grosbeak,Coccothraustes vespertinus,https://www.allaboutbirds.org/guide/Evening_Grosbeak/overview
Falcated_Duck,Falcated Duck,Mareca falcata,https://www.allaboutbirds.org/guide/Falcated_Duck/overview
Ferruginous_Hawk,Ferruginous Hawk,Buteo regalis,https://www.allaboutbirds.org/guide/Ferruginous_Hawk/overview
Field_Sparrow,Field Sparrow,Spizella pusilla,https://www.allaboutbirds.org/guide/Field_Sparrow/overview
Flammulated_Owl,Flammulated Owl,Psiloscops flammeolus,https://www.allaboutbirds.org/guide/Flammulated_Owl/overview
Flesh-footed_Shearwater,Flesh-footed Shearwater,Ardenna carneipes,https://www.allaboutbirds.org/guide/Flesh-footed_Shearwater/overview
Fork-tailed_Flycatcher,Fork-tailed Flycatcher,Tyrannus savana,https://www.allaboutbirds.org/guide/Fork-tailed_Flycatcher/overview
Fork-tailed_Storm-Petrel,Fork-tailed Storm-Petrel,Hydrobates furcatus,https://www.allaboutbirds.org/guide/Fork-tailed_Storm-Petrel/overview
Forsters_Tern,Forster's Tern,Sterna forsteri,https://www.allaboutbirds.org/guide/Forsters_Tern/overview
Fox_Sparrow,Fox Sparrow,Passerella iliaca,https://www.allaboutbirds.org/guide/Fox_Sparrow/overview
Franklins_Gull,Franklin's Gull,Leucophaeus pipixcan,https://www.allaboutbirds.org/guide/Franklins_Gull/overview
Fulvous_Whistling-Duck,Fulvous Whistling-Duck,Dendrocygna bicolor,https://www.allaboutbirds.org/guide/Fulvous_Whistling-Duck/overview
Gadwall,Gadwall,Mareca strepera,https://www.allaboutbirds.org/guide/Gadwall/overview
Garganey,Garganey,Spatula querquedula,https://www.allaboutbirds.org/guide/Garganey/overview
Giant_Wood-Rail,Giant Wood-Rail,Aramides ypecaha,https://www.allaboutbirds.org/guide/Giant_Wood-Rail/overview
Glaucous_Gull,Glaucous Gull,Larus hyperboreus,https://www.allaboutbirds.org/guide/Glaucous_Gull/overview
Glaucous-winged_Gull,Glaucous-winged Gull,Larus glaucescens,https://www.allaboutbirds.org/guide/Glaucous-winged_Gull/overview
Glossy_Ibis,Glossy Ibis,Plegadis falcinellus,https://www.allaboutbirds.org/guide/Glossy_Ibis/overview
Golden_Eagle,Golden Eagle,Aquila chrysaetos,https://www.allaboutbirds.org/guide/Golden_Eagle/overview
